num_features,auc_mean,auc_std
1,0.72154880514457564,0.0087645837922643507
6,0.987257038087752,0.0016716994781182887
11,0.99178309782884677,0.0015406074535081399
16,0.99331333289882229,0.0011501193972843721
21,0.99386599465691194,0.0008490039255223766
26,0.99412522250640012,0.0013025476911930113
31,0.99444753878192038,0.0014581144042702231
36,0.99418092996579166,0.0015886735734600586
41,0.99429488958124912,0.0013077750814528605
46,0.99459573606285845,0.0015875618502047832
51,0.99440506237715287,0.0015681595534263301
56,0.99431110395248157,0.0014983412407318473
61,0.99441358682575631,0.0014091021517914496
66,0.99471164262807543,0.0011730675535556493
71,0.99474562363915287,0.0011256799376975675
76,0.99478913822926807,0.0010624098956222587
81,0.99477449803231488,0.0011867216738212082
86,0.99468020903943266,0.0010772930435264914
91,0.99465895196169696,0.0011338244622073554
96,0.9947425825856383,0.0011462805553916183
101,0.99480776747656652,0.0010581012841367852
106,0.99497612151214865,0.00094640810141706846
111,0.99484107501718777,0.0009456674257868619
116,0.99483083122667282,0.00092288941045653799
121,0.99490677169706987,0.00091278338111730755
126,0.99485472694081611,0.00086062455446787715
131,0.99491573897571639,0.0007727177658510291
136,0.99493392755477583,0.00079055392443357281
141,0.99497920083464908,0.00064641123237405397
146,0.99525158610545128,0.00070321877208419131
151,0.99518169353508479,0.00072875400885781115
156,0.99524223230164599,0.00068706311754388035
161,0.99524744188508052,0.00074042712068624929
166,0.99532128590381597,0.00070170442376520429
171,0.99525869265064804,0.00073521218915298706
176,0.99526986453960153,0.00080582639957128485
181,0.99530713837534734,0.00065831111916718693
186,0.99531756860522658,0.0006698393904612846
191,0.9953368880568334,0.00071162033980955045
196,0.99534280193911262,0.00063403070582404369
201,0.99528290693068822,0.00069142519410238929
206,0.99524676231139064,0.00069837262352110037
211,0.99519306441826161,0.00071564416374667733
216,0.99518276481152079,0.00073244831918994272
221,0.99519660343958161,0.00075390256634824714
226,0.99522745913948507,0.00071268926048867584
231,0.99526536602433724,0.00077788304664670163
236,0.99528885144695611,0.00072964595797988109
241,0.99530558510970735,0.00076355611750527806
246,0.99531999923657555,0.00075237183845135711
251,0.99524977400764481,0.00079949291776804066
256,0.99522118228582879,0.00081204900209713054
261,0.99525240712805119,0.00080579211766173859
266,0.99526569748963001,0.00075812355004787431
271,0.99524689875403571,0.00081839378609290978
276,0.99516776598155154,0.00079907234957116754
281,0.99528036085671345,0.00067879085308286506
286,0.99533081838145943,0.00072195545493996518
291,0.99529126947889635,0.00072022611765707606
296,0.99518436862438253,0.00073962551162598718
301,0.99525654514070561,0.00075623561484127366
306,0.99525440353781314,0.00071637171617575037
311,0.99526879535019563,0.00073973641090355311
316,0.99526051025508466,0.00079652013669684026
321,0.99530403602964324,0.00080119106516434368
326,0.99519061061890002,0.00081869517215733812
331,0.9951263708327398,0.00077760295503606267
336,0.99516182168734846,0.00077691037115130415
341,0.99516814130885545,0.00066885537290604219
346,0.9952078162993967,0.00076785625353888122
351,0.99513691744279897,0.00077872075045929659
356,0.99514651858536352,0.00077169706212887616
361,0.99510687978496637,0.00076820946859139806
366,0.99510800168580948,0.00076705046848595654
371,0.99510848782878991,0.00077741628452583384
376,0.99514104407655457,0.00074492688565294056
381,0.99512737676387131,0.00073722539331381131
386,0.99523765618176285,0.00068741199405729977
391,0.99516815059853547,0.0007640943018562249
396,0.99516730789399754,0.0007901651845707117
401,0.99515467706822469,0.00076484567094451457
406,0.99510652005960154,0.00080169504506740949
411,0.99515223176297962,0.00074538594932530738
416,0.99513619675487774,0.00075125566103025369
421,0.9951020176664428,0.000768739376679206
426,0.99515234542646736,0.00080840365989454978
431,0.99506813995004284,0.0007628418699029253
436,0.99507986165854745,0.00080349852224664798
441,0.99507159280083801,0.00079826210346259265
446,0.99513784255284299,0.00080676972484704072
451,0.99508026720544462,0.00077583201047590406
456,0.99508170034231302,0.00077488200083464123
461,0.99509639236802194,0.00078519806876821137
466,0.99501458007195076,0.00080302399981101603
471,0.99497893332511311,0.0008580404888332082
476,0.99498658538871232,0.00082613247173809134
481,0.99500039776843696,0.00081380950729549161
486,0.99508018480772575,0.00082058141455899707
491,0.9950598758236302,0.00079504691046991668
496,0.99505979229165376,0.00079994459615226625
